Museum_Name,Museum_ID,State,Rating
"U.S. ARMY TRANSPORTATION MUSEUM",8405100001,VA,28.8
"UNION PACIFIC RAILROAD MUSEUM",8401900585,IA,37.6
"UNIVERSITY OF MICHIGAN MUSEUM OF ART",8409504260,MI,30.6
"UNIVERSITY OF MICHIGAN MUSEUM OF NATURAL HISTORY",8409501189,MI,21.4
"UNIVERSITY OF NEBRASKA STATE MUSEUM",8409501863,NE,21.8
"UPCOUNTRY HISTORY MUSEUM",8409501240,SC,18.4
"VETERANS MEMORIAL MUSEUM",8400600786,CA,64.2
"VIRGINIA HOLOCAUST MUSEUM",8405100831,VA,51.8
"VIRGINIA LIVING MUSEUM",8405100974,VA,97.2
"VIRGINIA MUSEUM OF TRANSPORTATION",8405100623,VA,79.8
"VULCAN PARK AND MUSEUM",8400100394,AL,150.4
"WADSWORTH ATHENEUM MUSEUM OF ART",8400900123,CT,66.6
"WALTON'S MOUNTAIN MUSEUM",8405100737,VA,32.2
"WARTHER MUSEUM",8403900004,OH,53.2
"WASHINGTON COUNTY MUSEUM OF FINE ARTS",8402400317,MD,18.8
"WEISMAN ART MUSEUM",8402700007,MN,30.2
"WELLS FARGO HISTORY MUSEUM",8402700735,MN,17.8
"WEST POINT MUSEUM",8409501886,NY,53.4
"WEST VIRGINIA STATE MUSEUM",8405400008,WV,47.4
"WHEELWRIGHT MUSEUM OF THE AMERICAN INDIAN",8403500171,NM,49.6
"WHITNEY MUSEUM OF AMERICAN ART",8403600764,NY,300.8
"WICHITA ART MUSEUM",8402000435,KS,19
"WILLIAMS COLLEGE MUSEUM OF ART",8409504352,MA,33.4
"WILMINGTON RAILROAD MUSEUM",8403700548,NC,37.6
"WINGS OVER THE ROCKIES AIR & SPACE MUSEUM",8400800475,CO,81.4
"WISCONSIN MARITIME MUSEUM",8405500374,WI,60
"WISCONSIN VETERANS MUSEUM",8405500012,WI,32.8
"WITCH DUNGEON MUSEUM",8402500011,MA,86.2
"WITTE MUSEUM",8404801014,TX,55.4
"WOOLAROC MUSEUM & WILDLIFE PRESERVE",8404000005,OK,65.8
"WORCESTER ART MUSEUM",8402500240,MA,78
"WRANGELL MUSEUM",8400200154,AK,16.8
"WYOMING STATE MUSEUM",8405600061,WY,50.6
"YALE PEABODY MUSEUM OF NATURAL HISTORY",8409501167,CT,71
"YALE UNIVERSITY ART GALLERY",8409504376,CT,108
"ZWAANENDAEL MUSEUM",8401000001,DE,20.6
